,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
8,Hagen,Joey,6,20,13,3,2,1,0,0,1,4,1,0,0,0,6,5,.231,.500,.308,.808,3.333,1.200,.615,1,2,1,.667,0,1,0,1,4,.000,.200,77,3.850,1,.050,3,.150,37.50%,25.00%,0,0,7,0,3,10,50.00%,.375,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,6,0,6,0,0,0,1.000,0.0,0,0,0,.000,0,0
9,Sharp,Nick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,3.2,3,0,0,0,0,0,0,.000,4,2,2,3,5,0,3.818,1.909,18,65,38,27,17.727,3.611,7,.389,2,0,0,0,2.551,.585,10,.556,.800,.000,.200,.818,1,0,1,0,2,15,4,.062,9.545,.278,1.667,.800,.200,.500,.500,3,3,1.000,.267,0,.400,5,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
10,Roesch,Braden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,3.0,1,1,0,0,0,0,0,.000,3,3,3,5,3,0,7.000,2.667,16,86,42,44,28.667,5.375,2,.125,2,1,0,0,5.487,.488,8,.500,.500,.250,.250,1.667,0,2,0,0,1,10,9,.105,7.000,.188,.600,.375,.625,.500,.500,1,2,.500,.300,0,.375,4,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
13,Mulcahey,Patrick,3,9,9,1,0,0,0,1,2,1,0,0,0,0,0,2,.111,.111,.444,.556,.000,.000,.778,0,0,0,.000,0,0,0,1,4,9.000,.250,33,3.667,3,.333,0,.000,57.14%,28.57%,0,0,3,2,1,3,33.33%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,15,0,15,0,1,0,1.000,0.0,0,0,0,.000,0,0
14,McGill,Liam,6,21,18,5,4,1,0,0,3,1,0,1,1,0,3,1,.278,.381,.333,.714,7.000,3.000,.944,0,3,0,1.000,0,0,0,1,6,.000,.500,75,3.571,1,.048,2,.095,35.29%,29.41%,0,0,7,1,6,10,47.62%,.294,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,10,7,3,0,1,0,1.000,0.0,0,0,0,.000,0,0
15,Maloney,Mike,6,23,22,6,3,2,1,0,5,5,0,1,2,0,1,4,.273,.304,.455,.759,23.000,.250,.818,0,2,0,1.000,0,0,0,3,10,.000,.300,73,3.174,2,.087,2,.087,38.89%,33.33%,0,0,11,0,6,8,34.78%,.333,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,15,10,5,0,0,0,1.000,0.0,0,0,0,.000,0,0
16,Carpita,Zach,5,13,10,1,1,0,0,0,1,1,2,0,0,0,1,2,.100,.308,.100,.408,13.000,.500,.800,0,0,0,.000,0,0,0,0,1,.000,.000,58,4.462,3,.231,4,.308,25.00%,62.50%,0,0,7,0,2,8,61.54%,.125,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,5,0,4,1,0,0,.800,0.0,0,0,0,.000,0,0
17,Davis,Trevor,5,15,12,3,2,1,0,0,1,3,1,0,0,0,2,5,.250,.400,.333,.733,7.500,.400,.583,4,0,0,.000,0,0,0,1,4,.000,.250,58,3.867,2,.133,4,.267,14.29%,42.86%,0,0,5,0,3,6,40.00%,.429,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,32,4,27,1,0,0,.969,27.0,2,10,1,.091,1,0
18,Pemberton,Kolby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,5.1,2,2,0,0,0,0,0,.000,8,9,5,5,3,1,6.562,2.438,32,117,64,53,21.938,3.656,16,.500,3,1,1,0,6.862,.547,17,.531,.588,.118,.294,.938,2,0,1,0,0,26,16,.137,3.938,.094,.600,.565,.435,.261,.739,3,10,.300,.308,1,.318,7,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
19,O' Gorman,Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,3.2,3,0,0,0,0,0,0,.000,3,0,0,1,3,1,.000,1.091,16,66,38,28,18.000,4.125,8,.500,2,1,1,1,2.952,.576,9,.562,.667,.000,.222,.273,2,0,1,0,0,14,9,.136,5.727,.188,3.000,.727,.273,.500,.500,3,2,1.500,.214,0,.273,6,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,0,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
