,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
7,Brewer,Hunter,17,49,42,10,8,1,0,1,6,5,1,1,2,0,6,12,.238,.347,.333,.680,8.167,.500,.714,1,3,1,.750,2,0,0,2,14,42.000,.200,193,3.939,5,.102,9,.184,36.67%,50.00%,0,0,25,3,9,22,44.90%,.310,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,31,8,18,5,2,0,.839,0.0,0,0,0,.000,0,0
8,Hagen,Joey,17,56,39,12,9,1,0,2,5,12,1,1,0,0,16,17,.308,.518,.487,1.005,3.500,.941,.564,6,6,2,.750,0,1,0,3,19,19.500,.167,236,4.214,10,.179,12,.214,36.36%,40.91%,0,0,21,0,8,29,51.79%,.500,4.0,3,0,0,0,0,0,0,.000,2,5,4,6,7,0,7.000,2.000,20,87,41,46,21.750,4.350,4,.200,3,2,2,2,3.533,.471,6,.300,.833,.000,.167,1.500,2,4,1,1,2,14,15,.172,12.250,.350,1.167,.571,.429,.571,.429,2,3,.667,.143,0,.286,4,0,0,2,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,18,0,17,1,0,0,.944,0.0,0,0,0,.000,0,0
9,Sharp,Nick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,9.1,8,0,0,0,1,1,0,1.000,9,6,5,9,13,1,3.750,1.929,48,172,96,76,18.429,3.583,20,.417,4,1,0,1,3.148,.558,27,.562,.704,.074,.222,.964,4,2,2,1,7,38,14,.081,9.750,.271,1.444,.800,.200,.440,.560,6,9,.667,.237,0,.360,11,0,0,3,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,0,0,1,0,0,.000,0.0,0,0,0,.000,0,0
10,Roesch,Braden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,17.1,7,2,1,1,0,0,0,.000,13,10,10,19,25,4,4.038,1.846,86,393,215,178,22.673,4.570,21,.244,10,7,3,4,3.709,.547,47,.547,.660,.170,.149,1.096,6,5,2,1,3,62,35,.089,10.096,.291,1.316,.579,.421,.342,.658,5,15,.333,.210,0,.342,21,0,0,6,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
11,Buksa,Keegan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,15.1,4,4,0,2,0,0,0,.000,21,14,13,10,15,1,5.935,2.022,77,280,170,110,18.261,3.636,37,.481,9,3,1,4,3.072,.607,48,.623,.625,.083,.271,.652,6,4,3,1,7,63,32,.114,6.848,.195,1.500,.647,.353,.520,.480,18,9,2.000,.333,0,.420,15,0,0,3,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,4,3,0,1,0,0,.750,0.0,0,0,0,.000,0,0
12,Swartz,Jake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,5.0,1,1,1,0,0,0,0,.000,3,1,0,0,7,0,.000,.600,20,72,52,20,14.400,3.600,9,.450,4,3,2,2,.358,.722,15,.750,.800,.000,.200,.000,5,0,0,0,1,20,19,.264,9.800,.350,.000,.462,.538,.538,.462,3,5,.600,.150,0,.231,4,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
13,Mulcahey,Patrick,17,50,40,15,12,1,0,2,7,11,0,0,0,0,10,9,.375,.500,.550,1.050,5.000,1.111,.775,3,2,0,1.000,0,1,0,3,22,20.000,.231,193,3.860,9,.180,10,.200,41.94%,48.39%,0,0,19,4,8,28,56.00%,.448,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,64,2,61,1,5,0,.984,0.0,0,0,0,.000,0,0
14,McGill,Liam,21,69,59,17,13,3,1,0,5,12,1,2,3,0,8,9,.288,.377,.373,.750,8.625,.889,.847,3,16,0,1.000,0,0,0,4,22,.000,.312,258,3.739,6,.087,15,.217,29.41%,41.18%,0,1,16,1,19,40,57.97%,.333,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,54,28,22,4,6,0,.926,0.0,0,0,0,.000,0,0
15,Maloney,Mike,18,65,60,17,13,2,2,0,12,11,1,2,3,0,4,7,.283,.338,.383,.722,16.250,.571,.883,1,7,0,1.000,0,0,0,4,23,.000,.370,213,3.277,10,.154,8,.123,37.74%,45.28%,0,0,24,3,14,27,41.54%,.321,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,31,19,12,0,0,0,1.000,0.0,0,0,0,.000,0,0
16,Carpita,Zach,19,61,47,9,5,1,1,2,10,11,2,2,2,0,11,12,.191,.361,.383,.744,5.545,.917,.745,4,4,0,1.000,0,1,0,4,18,23.500,.160,245,4.016,12,.197,15,.246,38.89%,41.67%,0,1,38,4,14,38,62.30%,.206,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,59,8,47,4,4,0,.932,0.0,0,0,0,.000,0,0
17,Davis,Trevor,16,49,39,9,8,1,0,0,4,6,1,0,0,0,9,18,.231,.388,.256,.644,5.444,.500,.538,9,0,0,.000,0,0,0,1,10,.000,.286,205,4.184,5,.102,16,.327,33.33%,42.86%,0,0,22,2,7,24,48.98%,.429,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,103,6,96,1,0,0,.990,89.0,3,25,3,.107,1,0
